patient	cancer	response	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5
X697	blood	2.331211	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
CRO.AP2	blood	0.778904	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
Daudi	blood	5.335181	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
DB	blood	3.06994	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
DEL	blood	4.242757	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
DG.75	blood	3.691203	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
DOHH.2	blood	1.442332	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
EB2	blood	6.415721	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
EB.3	blood	6.491941	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
EM.2	blood	4.832225	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
EoL.1.cell	blood	3.515493	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
GR.ST	blood	0.773334	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
H9	blood	5.15506	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HC.1	blood	4.881295	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HD.MY.Z	blood	2.888265	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HEL	blood	0.331935	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HH	blood	3.233163	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HT	blood	6.200692	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
JiyoyeP.2003	blood	6.087407	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
JVM.2	blood	2.724556	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
JVM.3	blood	1.575373	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KARPAS.45	blood	6.351316	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KARPAS.299	blood	1.75091	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KARPAS.422	blood	5.773301	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KASUMI.1	blood	4.241239	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KE.37	blood	3.608988	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KMOE.2	blood	3.276047	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KY821	blood	5.466966	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
L.428	blood	3.989468	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
L.540	blood	4.616117	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
J.RT3.T3.5	blood	1.149941	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
LAMA.84	blood	2.600591	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
LC4.1	blood	4.131843	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
LOUCY	blood	2.254842	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
MEG.01	blood	3.973309	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
MHH.CALL.2	blood	2.673449	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
MHH.PREB.1	blood	5.262081	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
ML.2	blood	2.362305	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
MN.60	blood	6.604341	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
MOLT.13	blood	4.026093	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
MOLT.16	blood	1.750679	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
MONO.MAC.6	blood	3.453379	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
NALM.6	blood	5.685823	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
NKM.1	blood	1.463235	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
NOMO.1	blood	4.188152	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
OPM.2	blood	6.40308	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
P12.ICHIKAWA	blood	6.331195	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
P30.OHK	blood	1.877267	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
P31.FUJ	blood	5.74896	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
PF.382	blood	4.639097	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
Raji	blood	3.913617	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
REH	blood	3.06135	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
RPMI.6666	blood	1.855705	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
RPMI.8402	blood	3.463524	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
RS4.11	blood	1.718147	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
SKM.1	blood	1.555632	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
SUP.T1	blood	5.869411	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
TUR	blood	4.612523	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
